0,1,2,3,4,5,6,7,8,9,10,11
251.0,340.0,52.0,208.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,60.0,194.0,60.0,60.0,6.0,113.0
16.0,0.0,30.0,29.0,0.0,3.0,0.0,5.0,35.0,10.0,10.0,49.0
1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
154.0,213.0,0.0,114.0,82.0,107.0,15.0,177.0,85.0,210.0,51.0,62.0
130.0,180.0,39.0,83.0,76.0,33.0,526.0,830.0,763.0,207.0,0.0,0.0
411.0,613.0,272.0,118.0,30.0,13.0,55.0,177.0,152.0,70.0,70.0,181.0
74.0,33.0,26.0,52.0,36.0,96.0,201.0,236.0,499.0,96.0,116.0,128.0
0.0,0.0,0.0,155.0,0.0,0.0,10.0,89.0,2.0,3.0,10.0,22.0
45.0,177.0,80.0,123.0,541.0,827.0,1621.0,212.0,205.0,394.0,1791.0,573.0
161.0,977.0,2260.0,3104.0,1966.0,4684.0,3346.0,3486.0,1427.0,487.0,1255.0,604.0
20.0,54.0,11.0,32.0,55.0,605.0,470.0,241.0,152.0,61.0,134.0,209.0
6.0,20.0,13.0,95.0,42.0,73.0,63.0,53.0,27.0,32.0,3.0,34.0
3.0,24.0,16.0,70.0,28.0,112.0,37.0,25.0,0.0,6.0,0.0,0.0
10.0,7.0,8.0,82.0,16.0,35.0,44.0,40.0,16.0,31.0,6.0,17.0
1.0,33.0,8.0,133.0,28.0,68.0,35.0,109.0,25.0,101.0,78.0,24.0
194.0,193.0,115.0,122.0,91.0,198.0,144.0,515.0,221.0,261.0,549.0,169.0
141.0,139.0,278.0,480.0,180.0,346.0,398.0,700.0,420.0,351.0,275.0,162.0
73.0,16.0,25.0,37.0,96.0,77.0,28.0,144.0,79.0,48.0,49.0,87.0
11.0,3.0,8.0,3.0,5.0,9.0,11.0,2.0,10.0,8.0,5.0,7.0
11.0,2.0,5.0,10.0,3.0,14.0,11.0,22.0,21.0,10.0,11.0,7.0
5.0,2.0,1.0,1.0,2.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0
1.0,0.0,0.0,29.0,18.0,56.0,65.0,16.0,24.0,5.0,4.0,2.0
1.0,3.0,1.0,8.0,19.0,78.0,59.0,19.0,32.0,7.0,0.0,1.0
0.0,0.0,4.0,14.0,14.0,97.0,60.0,33.0,11.0,4.0,1.0,1.0
56.0,45.0,23.0,19.0,5.0,31.0,16.0,44.0,95.0,77.0,22.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
14.0,0.0,20.0,72.0,264.0,0.0,49.0,128.0,458.0,268.0,342.0,941.0
12.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,191.0,96.0,147.0,195.0,64.0,54.0,189.0,192.0,48.0,119.0,359.0
120.0,96.0,48.0,384.0,28.0,133.0,24.0,194.0,0.0,24.0,0.0,168.0
1029.0,10.0,1501.0,1060.0,23.0,2771.0,32.0,60.0,2065.0,1061.0,40.0,3606.0
21.0,20.0,101.0,70.0,703.0,43.0,30.0,0.0,24.0,0.0,20.0,30.0
28.0,40.0,323.0,70.0,133.0,122.0,110.0,72.0,65.0,50.0,40.0,140.0
0.0,0.0,0.0,2.0,4.0,0.0,61.0,17.0,0.0,0.0,0.0,0.0
240.0,120.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,200.0,0.0,0.0,1200.0,2100.0,1000.0,1400.0,1700.0,1000.0
10.0,0.0,4.0,9.0,2.0,5.0,1.0,1.0,52.0,0.0,3.0,2.0
27.0,1.0,2.0,192.0,100.0,24.0,288.0,149.0,194.0,145.0,211.0,126.0
0.0,0.0,0.0,0.0,36.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,27.0,2.0,0.0,1.0,52.0,395.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,108.0,252.0,74.0,110.0,254.0,330.0
0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,50.0,25.0,50.0,50.0,50.0,50.0,100.0,0.0,50.0,0.0,25.0
225.0,350.0,275.0,725.0,775.0,675.0,275.0,350.0,200.0,475.0,900.0,475.0
0.0,0.0,0.0,25.0,25.0,75.0,25.0,150.0,50.0,175.0,50.0,125.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,451.0,400.0,525.0,700.0,400.0,1150.0,750.0,625.0,475.0,1025.0,525.0
100.0,300.0,300.0,325.0,175.0,475.0,200.0,325.0,350.0,325.0,850.0,300.0
0.0,1.0,0.0,0.0,0.0,0.0,5.0,33.0,1.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,14.0,0.0,4.0
27.0,31.0,27.0,1.0,61.0,27.0,41.0,69.0,0.0,20.0,47.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,325.0,900.0,1237.0,1625.0
25.0,100.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,0.0
0.0,50.0,100.0,135.0,50.0,50.0,50.0,0.0,50.0,75.0,25.0,50.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,5.0,4.0,8.0,20.0,14.0,0.0,0.0,0.0,6.0,4.0
0.0,3.0,4.0,0.0,1.0,6.0,9.0,8.0,2.0,0.0,0.0,0.0
20.0,0.0,11.0,35.0,268.0,5.0,1726.0,403.0,0.0,166.0,195.0,394.0
8.0,0.0,80.0,81.0,165.0,10.0,1216.0,185.0,320.0,720.0,366.0,565.0
13.0,14.0,51.0,13.0,120.0,0.0,295.0,466.0,780.0,517.0,492.0,265.0
272.0,138.0,24.0,0.0,1.0,2.0,18.0,11.0,4.0,12.0,115.0,113.0
154.0,219.0,684.0,303.0,96.0,235.0,75.0,574.0,189.0,93.0,198.0,228.0
58.0,122.0,19.0,101.0,98.0,197.0,7.0,231.0,63.0,95.0,141.0,260.0
615.0,453.0,200.0,560.0,196.0,287.0,270.0,370.0,266.0,333.0,293.0,928.0
86.0,58.0,54.0,95.0,180.0,115.0,28.0,209.0,146.0,89.0,99.0,178.0
0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,1.0,15.0,7.0
7.0,58.0,0.0,14.0,10.0,39.0,12.0,43.0,2.0,8.0,81.0,37.0
0.0,0.0,0.0,216.0,108.0,108.0,878.0,1246.0,324.0,456.0,24.0,20.0
0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1151.0,3181.0,398.0,3396.0,510.0,2209.0,2990.0,1804.0,1490.0,2159.0,2400.0,1071.0
12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2.0,6.0,0.0,0.0,48.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,16.0,1.0,14.0,3.0,25.0,29.0,22.0,12.0,58.0,94.0,10.0
44.0,25.0,98.0,14.0,3.0,28.0,52.0,42.0,37.0,41.0,136.0,5.0
132.0,10.0,5.0,19.0,4.0,1.0,30.0,18.0,6.0,11.0,71.0,94.0
13.0,14.0,3.0,8.0,2.0,1.0,3.0,16.0,58.0,43.0,86.0,166.0
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,12.0,2.0,7.0,2.0,2.0,3.0,58.0,27.0,34.0,48.0,176.0
100.0,108.0,96.0,15.0,192.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,96.0,1.0,16.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0
686.0,606.0,108.0,18.0,90.0,102.0,96.0,186.0,37.0,180.0,162.0,120.0
0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,108.0,200.0,60.0,200.0,2.0,203.0,2.0,36.0,200.0,205.0,204.0
0.0,50.0,25.0,25.0,25.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0
25.0,50.0,25.0,25.0,50.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0
38.0,117.0,106.0,134.0,34.0,57.0,87.0,68.0,103.0,147.0,181.0,162.0
26.0,56.0,30.0,27.0,2.0,0.0,51.0,27.0,58.0,53.0,28.0,38.0
1656.0,0.0,144.0,360.0,216.0,360.0,72.0,216.0,0.0,504.0,216.0,216.0
43.0,6.0,36.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,6.0,9.0
8.0,0.0,2.0,2.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0
138.0,7.0,3.0,11.0,110.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
212.0,116.0,6.0,129.0,263.0,38.0,235.0,226.0,183.0,71.0,207.0,182.0
1731.0,199.0,73.0,33.0,144.0,72.0,1.0,292.0,0.0,0.0,0.0,0.0
34.0,6.0,19.0,7.0,15.0,9.0,15.0,0.0,4.0,16.0,25.0,16.0
2.0,0.0,0.0,5.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,14.0,26.0,52.0,89.0,20.0,97.0,136.0,95.0,15.0,37.0,1.0
0.0,0.0,6.0,24.0,5.0,48.0,48.0,24.0,6.0,134.0,13.0,99.0
12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
75.0,29.0,2439.0,37.0,25.0,47.0,25.0,3207.0,0.0,0.0,0.0,0.0
16.0,2.0,7.0,11.0,36.0,33.0,9.0,47.0,6.0,22.0,3.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
69.0,69.0,28.0,58.0,56.0,299.0,13.0,9.0,51.0,3.0,15.0,27.0
132.0,49.0,9.0,13.0,0.0,11.0,1.0,12.0,4.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,30.0,21.0,16.0,2.0,3.0,9.0,57.0,47.0,3.0,27.0,75.0
53.0,10.0,9.0,5.0,9.0,9.0,18.0,37.0,9.0,1.0,8.0,25.0
13.0,12.0,2.0,0.0,10.0,9.0,12.0,9.0,7.0,2.0,4.0,12.0
6.0,22.0,9.0,6.0,24.0,9.0,32.0,11.0,12.0,2.0,4.0,10.0
52.0,41.0,17.0,37.0,21.0,17.0,26.0,23.0,8.0,3.0,5.0,8.0
57.0,42.0,3.0,6.0,16.0,8.0,13.0,8.0,10.0,3.0,1.0,17.0
9.0,82.0,19.0,19.0,1.0,16.0,8.0,19.0,28.0,9.0,12.0,48.0
2.0,17.0,2.0,14.0,1.0,2.0,14.0,5.0,0.0,0.0,1.0,14.0
8.0,25.0,13.0,15.0,14.0,3.0,20.0,9.0,14.0,2.0,3.0,23.0
14.0,41.0,8.0,10.0,21.0,14.0,32.0,17.0,16.0,10.0,3.0,10.0
3.0,1.0,17.0,2.0,5.0,1.0,16.0,10.0,2.0,5.0,2.0,9.0
52.0,38.0,57.0,85.0,59.0,19.0,63.0,12.0,41.0,8.0,0.0,0.0
10.0,21.0,4.0,8.0,14.0,0.0,19.0,18.0,9.0,15.0,5.0,22.0
1.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,7.0,2.0,6.0,5.0
3.0,12.0,5.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0
3.0,10.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0
6.0,0.0,0.0,0.0,0.0,9.0,6.0,16.0,4.0,0.0,0.0,0.0
54.0,24.0,35.0,38.0,43.0,58.0,57.0,53.0,36.0,31.0,42.0,5.0
1.0,0.0,0.0,1.0,2.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,5.0,0.0,0.0,0.0
1883.0,78.0,53.0,235.0,55.0,132.0,467.0,326.0,1166.0,320.0,2365.0,4401.0
41.0,50.0,22.0,0.0,0.0,7.0,17.0,46.0,34.0,34.0,18.0,28.0
1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,223.0,187.0,64.0,115.0,182.0,110.0,123.0,93.0,125.0,156.0,107.0
138.0,398.0,360.0,495.0,195.0,313.0,159.0,185.0,209.0,259.0,198.0,173.0
179.0,764.0,469.0,682.0,307.0,291.0,524.0,382.0,479.0,217.0,226.0,454.0
237.0,274.0,370.0,528.0,247.0,229.0,289.0,333.0,394.0,244.0,178.0,209.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
148.0,145.0,76.0,91.0,38.0,173.0,47.0,165.0,213.0,142.0,263.0,162.0
45.0,54.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,130.0,52.0,116.0,36.0,36.0,56.0,52.0,119.0,181.0,136.0,124.0
5.0,24.0,19.0,9.0,10.0,3.0,7.0,4.0,1.0,0.0,0.0,0.0
385.0,307.0,185.0,242.0,127.0,542.0,704.0,624.0,164.0,189.0,199.0,339.0
18.0,8.0,20.0,12.0,7.0,4.0,22.0,6.0,48.0,31.0,30.0,62.0
2.0,0.0,10.0,6.0,1.0,1.0,1.0,9.0,0.0,0.0,12.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
14.0,12.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,3.0,12.0,3.0
2.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,6.0
0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,6.0
15.0,60.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0
3.0,2.0,2.0,1.0,1.0,12.0,13.0,8.0,12.0,19.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0
13.0,11.0,19.0,34.0,19.0,16.0,19.0,5.0,3.0,0.0,7.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,57.0,1.0,4.0,3.0,2.0,1.0,6.0,5.0,5.0,12.0,3.0
56.0,48.0,1.0,6.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,1.0
